block_id,section_id,planned_start,planned_end,departments,status,block_type,purpose
BDMS-2026-001,SEC-C01,2026-10-01 13:00:00,2026-10-01 14:30:00,S&T,APPROVED,Traffic Block,Preventive maintenance
BDMS-2026-002,SEC-A01,2026-09-21 03:00:00,2026-09-21 04:00:00,"TRACTION, ENGINEERING",APPROVED,Traffic + Power Block,Signalling maintenance
BDMS-2026-003,SEC-A01,2026-09-17 13:00:00,2026-09-17 14:00:00,ENGINEERING,REQUESTED,Traffic Block,Signalling maintenance
BDMS-2026-004,SEC-B02,2026-09-24 14:00:00,2026-09-24 16:00:00,ENGINEERING,REQUESTED,Traffic + Power Block,Defect repair
BDMS-2026-005,SEC-B01,2026-09-24 11:00:00,2026-09-24 12:30:00,ENGINEERING,REQUESTED,Traffic + Power Block,Defect repair
BDMS-2026-006,SEC-B01,2026-10-03 11:00:00,2026-10-03 12:00:00,TRACTION,COMPLETED,Traffic Block,OHE maintenance
BDMS-2026-007,SEC-A01,2026-09-22 04:00:00,2026-09-22 06:00:00,TRACTION,REQUESTED,Traffic Block,OHE maintenance
BDMS-2026-008,SEC-B01,2026-09-12 01:00:00,2026-09-12 02:00:00,"S&T, ENGINEERING",APPROVED,Traffic Block,Preventive maintenance
BDMS-2026-009,SEC-B01,2026-10-01 10:00:00,2026-10-01 11:30:00,ENGINEERING,APPROVED,Traffic Block,Defect repair
BDMS-2026-010,SEC-A01,2026-09-15 04:00:00,2026-09-15 06:00:00,"ENGINEERING, TRACTION",APPROVED,Traffic Block,Signalling maintenance
BDMS-2026-011,SEC-A01,2026-09-16 11:00:00,2026-09-16 12:00:00,"TRACTION, S&T",REQUESTED,Traffic Block,Preventive maintenance
BDMS-2026-012,SEC-A01,2026-09-25 00:00:00,2026-09-25 01:00:00,ENGINEERING,COMPLETED,Traffic + Power Block,Signalling maintenance
BDMS-2026-013,SEC-C01,2026-09-10 04:00:00,2026-09-10 05:00:00,"S&T, ENGINEERING",REQUESTED,Traffic + Power Block,Defect repair
BDMS-2026-014,SEC-A02,2026-09-27 21:00:00,2026-09-27 23:00:00,S&T,REQUESTED,Traffic + Power Block,Defect repair
BDMS-2026-015,SEC-A02,2026-09-12 14:00:00,2026-09-12 15:00:00,ENGINEERING,APPROVED,Traffic Block,Signalling maintenance
BDMS-2026-016,SEC-C01,2026-09-14 00:00:00,2026-09-14 01:30:00,S&T,COMPLETED,Traffic Block,OHE maintenance
BDMS-2026-017,SEC-B01,2026-09-11 11:00:00,2026-09-11 13:00:00,S&T,APPROVED,Traffic + Power Block,Defect repair
BDMS-2026-018,SEC-C01,2026-10-04 01:00:00,2026-10-04 03:00:00,TRACTION,COMPLETED,Traffic Block,Preventive maintenance
BDMS-2026-019,SEC-B02,2026-09-25 03:00:00,2026-09-25 05:00:00,S&T,APPROVED,Traffic Block,Preventive maintenance
BDMS-2026-020,SEC-A02,2026-09-11 00:00:00,2026-09-11 01:00:00,S&T,REQUESTED,Traffic Block,Signalling maintenance
BDMS-2026-021,SEC-A02,2026-09-13 04:00:00,2026-09-13 05:00:00,"ENGINEERING, S&T",REQUESTED,Traffic Block,Signalling maintenance
BDMS-2026-022,SEC-A01,2026-09-17 03:00:00,2026-09-17 04:30:00,ENGINEERING,REQUESTED,Traffic + Power Block,OHE maintenance
BDMS-2026-023,SEC-B02,2026-09-19 14:00:00,2026-09-19 16:00:00,TRACTION,APPROVED,Traffic Block,Defect repair
BDMS-2026-024,SEC-B02,2026-09-18 03:00:00,2026-09-18 05:00:00,"ENGINEERING, TRACTION",COMPLETED,Traffic + Power Block,Signalling maintenance
