window_id,section_id,start_time,end_time,scheduled_train_count,forecast_utilization_percent,availability_status,traffic_impact_level
WIN-SEC-A01-2026090700,SEC-A01,2026-09-07 00:00:00,2026-09-07 01:00:00,2,57,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090701,SEC-A01,2026-09-07 01:00:00,2026-09-07 02:00:00,1,57,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090702,SEC-A01,2026-09-07 02:00:00,2026-09-07 03:00:00,1,57,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090703,SEC-A01,2026-09-07 03:00:00,2026-09-07 04:00:00,2,69,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090704,SEC-A01,2026-09-07 04:00:00,2026-09-07 05:00:00,1,69,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090705,SEC-A01,2026-09-07 05:00:00,2026-09-07 06:00:00,2,69,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090706,SEC-A01,2026-09-07 06:00:00,2026-09-07 07:00:00,2,93,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090707,SEC-A01,2026-09-07 07:00:00,2026-09-07 08:00:00,2,93,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090708,SEC-A01,2026-09-07 08:00:00,2026-09-07 09:00:00,2,93,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090709,SEC-A01,2026-09-07 09:00:00,2026-09-07 10:00:00,2,77,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090710,SEC-A01,2026-09-07 10:00:00,2026-09-07 11:00:00,2,77,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090711,SEC-A01,2026-09-07 11:00:00,2026-09-07 12:00:00,1,77,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090712,SEC-A01,2026-09-07 12:00:00,2026-09-07 13:00:00,1,66,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090713,SEC-A01,2026-09-07 13:00:00,2026-09-07 14:00:00,2,66,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090714,SEC-A01,2026-09-07 14:00:00,2026-09-07 15:00:00,1,66,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090715,SEC-A01,2026-09-07 15:00:00,2026-09-07 16:00:00,1,78,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090716,SEC-A01,2026-09-07 16:00:00,2026-09-07 17:00:00,1,78,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090717,SEC-A01,2026-09-07 17:00:00,2026-09-07 18:00:00,2,78,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090718,SEC-A01,2026-09-07 18:00:00,2026-09-07 19:00:00,1,86,UNAVAILABLE,MEDIUM
WIN-SEC-A01-2026090719,SEC-A01,2026-09-07 19:00:00,2026-09-07 20:00:00,2,86,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090720,SEC-A01,2026-09-07 20:00:00,2026-09-07 21:00:00,2,86,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090721,SEC-A01,2026-09-07 21:00:00,2026-09-07 22:00:00,2,87,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090722,SEC-A01,2026-09-07 22:00:00,2026-09-07 23:00:00,2,87,UNAVAILABLE,HIGH
WIN-SEC-A01-2026090723,SEC-A01,2026-09-07 23:00:00,2026-09-08 00:00:00,1,87,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090700,SEC-A02,2026-09-07 00:00:00,2026-09-07 01:00:00,1,66,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090701,SEC-A02,2026-09-07 01:00:00,2026-09-07 02:00:00,1,66,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090702,SEC-A02,2026-09-07 02:00:00,2026-09-07 03:00:00,1,66,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090703,SEC-A02,2026-09-07 03:00:00,2026-09-07 04:00:00,1,66,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090704,SEC-A02,2026-09-07 04:00:00,2026-09-07 05:00:00,1,66,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090705,SEC-A02,2026-09-07 05:00:00,2026-09-07 06:00:00,2,66,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090706,SEC-A02,2026-09-07 06:00:00,2026-09-07 07:00:00,1,76,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090707,SEC-A02,2026-09-07 07:00:00,2026-09-07 08:00:00,2,76,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090708,SEC-A02,2026-09-07 08:00:00,2026-09-07 09:00:00,2,76,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090709,SEC-A02,2026-09-07 09:00:00,2026-09-07 10:00:00,2,90,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090710,SEC-A02,2026-09-07 10:00:00,2026-09-07 11:00:00,1,90,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090711,SEC-A02,2026-09-07 11:00:00,2026-09-07 12:00:00,2,90,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090712,SEC-A02,2026-09-07 12:00:00,2026-09-07 13:00:00,1,79,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090713,SEC-A02,2026-09-07 13:00:00,2026-09-07 14:00:00,1,79,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090714,SEC-A02,2026-09-07 14:00:00,2026-09-07 15:00:00,1,79,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090715,SEC-A02,2026-09-07 15:00:00,2026-09-07 16:00:00,1,71,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090716,SEC-A02,2026-09-07 16:00:00,2026-09-07 17:00:00,1,71,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090717,SEC-A02,2026-09-07 17:00:00,2026-09-07 18:00:00,2,71,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090718,SEC-A02,2026-09-07 18:00:00,2026-09-07 19:00:00,1,84,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090719,SEC-A02,2026-09-07 19:00:00,2026-09-07 20:00:00,2,84,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090720,SEC-A02,2026-09-07 20:00:00,2026-09-07 21:00:00,2,84,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090721,SEC-A02,2026-09-07 21:00:00,2026-09-07 22:00:00,1,75,UNAVAILABLE,MEDIUM
WIN-SEC-A02-2026090722,SEC-A02,2026-09-07 22:00:00,2026-09-07 23:00:00,2,75,UNAVAILABLE,HIGH
WIN-SEC-A02-2026090723,SEC-A02,2026-09-07 23:00:00,2026-09-08 00:00:00,1,75,UNAVAILABLE,MEDIUM
