date,section_id,start_hour,end_hour,forecast_freight_load_index,forecast_utilization_percent,forecast_freight_trains
2026-09-07,SEC-A01,0,3,0.57,57,2
2026-09-07,SEC-A01,3,6,0.69,69,5
2026-09-07,SEC-A01,6,9,0.93,93,3
2026-09-07,SEC-A01,9,12,0.77,77,7
2026-09-07,SEC-A01,12,15,0.66,66,3
2026-09-07,SEC-A01,15,18,0.78,78,3
2026-09-07,SEC-A01,18,21,0.86,86,10
2026-09-07,SEC-A01,21,24,0.87,87,7
2026-09-07,SEC-A02,0,3,0.66,66,7
2026-09-07,SEC-A02,3,6,0.66,66,7
2026-09-07,SEC-A02,6,9,0.76,76,3
2026-09-07,SEC-A02,9,12,0.9,90,1
2026-09-07,SEC-A02,12,15,0.79,79,2
2026-09-07,SEC-A02,15,18,0.71,71,6
2026-09-07,SEC-A02,18,21,0.84,84,8
2026-09-07,SEC-A02,21,24,0.75,75,10
2026-09-07,SEC-B01,0,3,0.47,47,5
2026-09-07,SEC-B01,3,6,0.47,47,4
2026-09-07,SEC-B01,6,9,0.64,64,1
2026-09-07,SEC-B01,9,12,0.71,71,2
2026-09-07,SEC-B01,12,15,0.5,50,5
2026-09-07,SEC-B01,15,18,0.55,55,2
2026-09-07,SEC-B01,18,21,0.58,58,8
2026-09-07,SEC-B01,21,24,0.64,64,2
2026-09-07,SEC-B02,0,3,0.43,43,0
2026-09-07,SEC-B02,3,6,0.45,45,3
2026-09-07,SEC-B02,6,9,0.62,62,8
2026-09-07,SEC-B02,9,12,0.63,63,1
2026-09-07,SEC-B02,12,15,0.57,57,9
2026-09-07,SEC-B02,15,18,0.49,49,1
2026-09-07,SEC-B02,18,21,0.54,54,1
2026-09-07,SEC-B02,21,24,0.74,74,10
2026-09-07,SEC-C01,0,3,0.32,32,3
2026-09-07,SEC-C01,3,6,0.16,16,5
2026-09-07,SEC-C01,6,9,0.48,48,2
2026-09-07,SEC-C01,9,12,0.41,41,1
2026-09-07,SEC-C01,12,15,0.34,34,2
2026-09-07,SEC-C01,15,18,0.34,34,3
2026-09-07,SEC-C01,18,21,0.43,43,0
2026-09-07,SEC-C01,21,24,0.39,39,3
2026-09-08,SEC-A01,0,3,0.6,60,0
2026-09-08,SEC-A01,3,6,0.59,59,5
2026-09-08,SEC-A01,6,9,0.79,79,6
2026-09-08,SEC-A01,9,12,0.84,84,0
2026-09-08,SEC-A01,12,15,0.68,68,3
2026-09-08,SEC-A01,15,18,0.76,76,10
2026-09-08,SEC-A01,18,21,0.93,93,5
2026-09-08,SEC-A01,21,24,0.81,81,6
2026-09-08,SEC-A02,0,3,0.65,65,7
2026-09-08,SEC-A02,3,6,0.67,67,9
2026-09-08,SEC-A02,6,9,0.87,87,3
2026-09-08,SEC-A02,9,12,0.84,84,2
2026-09-08,SEC-A02,12,15,0.76,76,7
2026-09-08,SEC-A02,15,18,0.75,75,9
2026-09-08,SEC-A02,18,21,0.77,77,8
2026-09-08,SEC-A02,21,24,0.89,89,6
2026-09-08,SEC-B01,0,3,0.49,49,5
2026-09-08,SEC-B01,3,6,0.39,39,5
2026-09-08,SEC-B01,6,9,0.64,64,2
2026-09-08,SEC-B01,9,12,0.68,68,3
2026-09-08,SEC-B01,12,15,0.51,51,4
2026-09-08,SEC-B01,15,18,0.58,58,8
2026-09-08,SEC-B01,18,21,0.78,78,4
2026-09-08,SEC-B01,21,24,0.59,59,7
2026-09-08,SEC-B02,0,3,0.36,36,0
2026-09-08,SEC-B02,3,6,0.46,46,3
2026-09-08,SEC-B02,6,9,0.68,68,9
2026-09-08,SEC-B02,9,12,0.63,63,0
2026-09-08,SEC-B02,12,15,0.61,61,6
2026-09-08,SEC-B02,15,18,0.44,44,0
2026-09-08,SEC-B02,18,21,0.68,68,8
2026-09-08,SEC-B02,21,24,0.6,60,1
2026-09-08,SEC-C01,0,3,0.34,34,5
2026-09-08,SEC-C01,3,6,0.36,36,1
2026-09-08,SEC-C01,6,9,0.39,39,5
2026-09-08,SEC-C01,9,12,0.41,41,0
2026-09-08,SEC-C01,12,15,0.37,37,2
2026-09-08,SEC-C01,15,18,0.3,30,2
2026-09-08,SEC-C01,18,21,0.44,44,3
2026-09-08,SEC-C01,21,24,0.44,44,2
2026-09-09,SEC-A01,0,3,0.52,52,3
2026-09-09,SEC-A01,3,6,0.64,64,10
2026-09-09,SEC-A01,6,9,0.8,80,5
2026-09-09,SEC-A01,9,12,0.81,81,4
2026-09-09,SEC-A01,12,15,0.81,81,8
2026-09-09,SEC-A01,15,18,0.64,64,9
2026-09-09,SEC-A01,18,21,0.89,89,5
2026-09-09,SEC-A01,21,24,0.82,82,4
2026-09-09,SEC-A02,0,3,0.62,62,7
2026-09-09,SEC-A02,3,6,0.69,69,8
2026-09-09,SEC-A02,6,9,0.86,86,7
2026-09-09,SEC-A02,9,12,0.87,87,6
2026-09-09,SEC-A02,12,15,0.78,78,9
2026-09-09,SEC-A02,15,18,0.7,70,8
2026-09-09,SEC-A02,18,21,0.8,80,10
2026-09-09,SEC-A02,21,24,0.77,77,9
2026-09-09,SEC-B01,0,3,0.39,39,4
2026-09-09,SEC-B01,3,6,0.62,62,10
2026-09-09,SEC-B01,6,9,0.71,71,9
2026-09-09,SEC-B01,9,12,0.56,56,2
2026-09-09,SEC-B01,12,15,0.44,44,3
2026-09-09,SEC-B01,15,18,0.55,55,5
2026-09-09,SEC-B01,18,21,0.67,67,1
2026-09-09,SEC-B01,21,24,0.67,67,7
2026-09-09,SEC-B02,0,3,0.42,42,2
2026-09-09,SEC-B02,3,6,0.43,43,4
2026-09-09,SEC-B02,6,9,0.66,66,8
2026-09-09,SEC-B02,9,12,0.65,65,9
2026-09-09,SEC-B02,12,15,0.39,39,5
2026-09-09,SEC-B02,15,18,0.51,51,0
2026-09-09,SEC-B02,18,21,0.59,59,4
2026-09-09,SEC-B02,21,24,0.65,65,10
2026-09-09,SEC-C01,0,3,0.42,42,2
2026-09-09,SEC-C01,3,6,0.26,26,2
2026-09-09,SEC-C01,6,9,0.42,42,2
2026-09-09,SEC-C01,9,12,0.5,50,4
2026-09-09,SEC-C01,12,15,0.35,35,4
2026-09-09,SEC-C01,15,18,0.35,35,1
2026-09-09,SEC-C01,18,21,0.48,48,2
2026-09-09,SEC-C01,21,24,0.56,56,5
2026-09-10,SEC-A01,0,3,0.57,57,3
2026-09-10,SEC-A01,3,6,0.67,67,9
2026-09-10,SEC-A01,6,9,0.78,78,3
2026-09-10,SEC-A01,9,12,0.87,87,5
2026-09-10,SEC-A01,12,15,0.66,66,4
2026-09-10,SEC-A01,15,18,0.69,69,3
2026-09-10,SEC-A01,18,21,0.82,82,5
2026-09-10,SEC-A01,21,24,0.9,90,8
2026-09-10,SEC-A02,0,3,0.7,70,10
2026-09-10,SEC-A02,3,6,0.57,57,6
2026-09-10,SEC-A02,6,9,0.84,84,4
2026-09-10,SEC-A02,9,12,0.8,80,4
2026-09-10,SEC-A02,12,15,0.64,64,9
2026-09-10,SEC-A02,15,18,0.71,71,6
2026-09-10,SEC-A02,18,21,0.82,82,10
2026-09-10,SEC-A02,21,24,0.98,98,10
2026-09-10,SEC-B01,0,3,0.47,47,1
2026-09-10,SEC-B01,3,6,0.36,36,4
2026-09-10,SEC-B01,6,9,0.61,61,2
2026-09-10,SEC-B01,9,12,0.7,70,4
2026-09-10,SEC-B01,12,15,0.65,65,3
2026-09-10,SEC-B01,15,18,0.42,42,5
2026-09-10,SEC-B01,18,21,0.53,53,5
2026-09-10,SEC-B01,21,24,0.75,75,5
2026-09-10,SEC-B02,0,3,0.46,46,5
2026-09-10,SEC-B02,3,6,0.39,39,4
2026-09-10,SEC-B02,6,9,0.67,67,8
2026-09-10,SEC-B02,9,12,0.48,48,2
2026-09-10,SEC-B02,12,15,0.52,52,1
2026-09-10,SEC-B02,15,18,0.54,54,3
2026-09-10,SEC-B02,18,21,0.7,70,9
2026-09-10,SEC-B02,21,24,0.58,58,8
2026-09-10,SEC-C01,0,3,0.25,25,1
2026-09-10,SEC-C01,3,6,0.18,18,0
2026-09-10,SEC-C01,6,9,0.46,46,5
2026-09-10,SEC-C01,9,12,0.39,39,5
2026-09-10,SEC-C01,12,15,0.3,30,2
2026-09-10,SEC-C01,15,18,0.26,26,5
2026-09-10,SEC-C01,18,21,0.48,48,1
2026-09-10,SEC-C01,21,24,0.49,49,1
2026-09-11,SEC-A01,0,3,0.63,63,9
2026-09-11,SEC-A01,3,6,0.64,64,10
2026-09-11,SEC-A01,6,9,0.75,75,5
2026-09-11,SEC-A01,9,12,0.82,82,2
2026-09-11,SEC-A01,12,15,0.72,72,10
2026-09-11,SEC-A01,15,18,0.88,88,7
2026-09-11,SEC-A01,18,21,0.77,77,5
2026-09-11,SEC-A01,21,24,0.93,93,3
2026-09-11,SEC-A02,0,3,0.7,70,6
2026-09-11,SEC-A02,3,6,0.66,66,7
2026-09-11,SEC-A02,6,9,0.95,95,4
2026-09-11,SEC-A02,9,12,0.86,86,9
2026-09-11,SEC-A02,12,15,0.74,74,7
2026-09-11,SEC-A02,15,18,0.72,72,8
2026-09-11,SEC-A02,18,21,0.91,91,5
2026-09-11,SEC-A02,21,24,0.91,91,2
2026-09-11,SEC-B01,0,3,0.4,40,2
2026-09-11,SEC-B01,3,6,0.36,36,4
2026-09-11,SEC-B01,6,9,0.63,63,1
2026-09-11,SEC-B01,9,12,0.59,59,4
2026-09-11,SEC-B01,12,15,0.52,52,0
2026-09-11,SEC-B01,15,18,0.59,59,6
2026-09-11,SEC-B01,18,21,0.61,61,8
2026-09-11,SEC-B01,21,24,0.64,64,6
2026-09-11,SEC-B02,0,3,0.44,44,0
2026-09-11,SEC-B02,3,6,0.49,49,0
2026-09-11,SEC-B02,6,9,0.51,51,1
2026-09-11,SEC-B02,9,12,0.6,60,4
2026-09-11,SEC-B02,12,15,0.53,53,3
2026-09-11,SEC-B02,15,18,0.59,59,7
2026-09-11,SEC-B02,18,21,0.61,61,8
2026-09-11,SEC-B02,21,24,0.53,53,4
2026-09-11,SEC-C01,0,3,0.28,28,2
2026-09-11,SEC-C01,3,6,0.2,20,4
2026-09-11,SEC-C01,6,9,0.37,37,4
2026-09-11,SEC-C01,9,12,0.4,40,3
2026-09-11,SEC-C01,12,15,0.31,31,1
2026-09-11,SEC-C01,15,18,0.28,28,2
2026-09-11,SEC-C01,18,21,0.31,31,0
2026-09-11,SEC-C01,21,24,0.49,49,3
2026-09-12,SEC-A01,0,3,0.72,72,10
2026-09-12,SEC-A01,3,6,0.68,68,7
2026-09-12,SEC-A01,6,9,0.77,77,9
2026-09-12,SEC-A01,9,12,0.83,83,1
2026-09-12,SEC-A01,12,15,0.72,72,7
2026-09-12,SEC-A01,15,18,0.76,76,6
2026-09-12,SEC-A01,18,21,0.88,88,6
2026-09-12,SEC-A01,21,24,0.8,80,5
2026-09-12,SEC-A02,0,3,0.64,64,1
2026-09-12,SEC-A02,3,6,0.67,67,2
2026-09-12,SEC-A02,6,9,0.93,93,2
2026-09-12,SEC-A02,9,12,0.88,88,1
2026-09-12,SEC-A02,12,15,0.77,77,5
2026-09-12,SEC-A02,15,18,0.73,73,0
2026-09-12,SEC-A02,18,21,0.92,92,0
2026-09-12,SEC-A02,21,24,0.86,86,1
2026-09-12,SEC-B01,0,3,0.39,39,2
2026-09-12,SEC-B01,3,6,0.52,52,0
2026-09-12,SEC-B01,6,9,0.68,68,8
2026-09-12,SEC-B01,9,12,0.61,61,8
2026-09-12,SEC-B01,12,15,0.49,49,2
2026-09-12,SEC-B01,15,18,0.54,54,1
2026-09-12,SEC-B01,18,21,0.67,67,1
2026-09-12,SEC-B01,21,24,0.65,65,10
2026-09-12,SEC-B02,0,3,0.46,46,3
2026-09-12,SEC-B02,3,6,0.54,54,1
2026-09-12,SEC-B02,6,9,0.7,70,0
2026-09-12,SEC-B02,9,12,0.65,65,10
2026-09-12,SEC-B02,12,15,0.58,58,9
2026-09-12,SEC-B02,15,18,0.46,46,0
2026-09-12,SEC-B02,18,21,0.66,66,0
2026-09-12,SEC-B02,21,24,0.75,75,1
2026-09-12,SEC-C01,0,3,0.23,23,2
2026-09-12,SEC-C01,3,6,0.19,19,4
2026-09-12,SEC-C01,6,9,0.4,40,5
2026-09-12,SEC-C01,9,12,0.37,37,2
2026-09-12,SEC-C01,12,15,0.27,27,2
2026-09-12,SEC-C01,15,18,0.3,30,3
2026-09-12,SEC-C01,18,21,0.36,36,1
2026-09-12,SEC-C01,21,24,0.44,44,1
2026-09-13,SEC-A01,0,3,0.69,69,3
2026-09-13,SEC-A01,3,6,0.59,59,9
2026-09-13,SEC-A01,6,9,0.93,93,9
2026-09-13,SEC-A01,9,12,0.87,87,9
2026-09-13,SEC-A01,12,15,0.78,78,4
2026-09-13,SEC-A01,15,18,0.68,68,8
2026-09-13,SEC-A01,18,21,0.89,89,5
2026-09-13,SEC-A01,21,24,0.77,77,3
2026-09-13,SEC-A02,0,3,0.69,69,2
2026-09-13,SEC-A02,3,6,0.65,65,0
2026-09-13,SEC-A02,6,9,0.87,87,8
2026-09-13,SEC-A02,9,12,0.77,77,9
2026-09-13,SEC-A02,12,15,0.67,67,5
2026-09-13,SEC-A02,15,18,0.76,76,3
2026-09-13,SEC-A02,18,21,0.78,78,2
2026-09-13,SEC-A02,21,24,0.87,87,6
2026-09-13,SEC-B01,0,3,0.36,36,1
2026-09-13,SEC-B01,3,6,0.49,49,4
2026-09-13,SEC-B01,6,9,0.57,57,9
2026-09-13,SEC-B01,9,12,0.67,67,0
2026-09-13,SEC-B01,12,15,0.56,56,2
2026-09-13,SEC-B01,15,18,0.48,48,0
2026-09-13,SEC-B01,18,21,0.67,67,9
2026-09-13,SEC-B01,21,24,0.66,66,9
2026-09-13,SEC-B02,0,3,0.41,41,2
2026-09-13,SEC-B02,3,6,0.38,38,3
2026-09-13,SEC-B02,6,9,0.52,52,0
2026-09-13,SEC-B02,9,12,0.66,66,1
2026-09-13,SEC-B02,12,15,0.43,43,1
2026-09-13,SEC-B02,15,18,0.53,53,3
2026-09-13,SEC-B02,18,21,0.62,62,3
2026-09-13,SEC-B02,21,24,0.68,68,3
2026-09-13,SEC-C01,0,3,0.22,22,3
2026-09-13,SEC-C01,3,6,0.22,22,4
2026-09-13,SEC-C01,6,9,0.48,48,1
2026-09-13,SEC-C01,9,12,0.46,46,1
2026-09-13,SEC-C01,12,15,0.34,34,1
2026-09-13,SEC-C01,15,18,0.35,35,2
2026-09-13,SEC-C01,18,21,0.35,35,0
2026-09-13,SEC-C01,21,24,0.49,49,0
2026-09-14,SEC-A01,0,3,0.68,68,3
2026-09-14,SEC-A01,3,6,0.58,58,10
2026-09-14,SEC-A01,6,9,0.83,83,4
2026-09-14,SEC-A01,9,12,0.84,84,6
2026-09-14,SEC-A01,12,15,0.71,71,9
2026-09-14,SEC-A01,15,18,0.74,74,9
2026-09-14,SEC-A01,18,21,0.93,93,6
2026-09-14,SEC-A01,21,24,0.9,90,7
2026-09-14,SEC-A02,0,3,0.56,56,3
2026-09-14,SEC-A02,3,6,0.68,68,3
2026-09-14,SEC-A02,6,9,0.92,92,1
2026-09-14,SEC-A02,9,12,0.86,86,1
2026-09-14,SEC-A02,12,15,0.79,79,6
2026-09-14,SEC-A02,15,18,0.84,84,7
2026-09-14,SEC-A02,18,21,0.9,90,7
2026-09-14,SEC-A02,21,24,0.85,85,2
2026-09-14,SEC-B01,0,3,0.5,50,5
2026-09-14,SEC-B01,3,6,0.45,45,3
2026-09-14,SEC-B01,6,9,0.64,64,9
2026-09-14,SEC-B01,9,12,0.62,62,6
2026-09-14,SEC-B01,12,15,0.61,61,0
2026-09-14,SEC-B01,15,18,0.47,47,4
2026-09-14,SEC-B01,18,21,0.73,73,4
2026-09-14,SEC-B01,21,24,0.67,67,3
2026-09-14,SEC-B02,0,3,0.36,36,5
2026-09-14,SEC-B02,3,6,0.46,46,3
2026-09-14,SEC-B02,6,9,0.51,51,3
2026-09-14,SEC-B02,9,12,0.68,68,8
2026-09-14,SEC-B02,12,15,0.57,57,5
2026-09-14,SEC-B02,15,18,0.48,48,2
2026-09-14,SEC-B02,18,21,0.65,65,0
2026-09-14,SEC-B02,21,24,0.76,76,7
2026-09-14,SEC-C01,0,3,0.21,21,4
2026-09-14,SEC-C01,3,6,0.18,18,4
2026-09-14,SEC-C01,6,9,0.53,53,3
2026-09-14,SEC-C01,9,12,0.56,56,7
2026-09-14,SEC-C01,12,15,0.32,32,4
2026-09-14,SEC-C01,15,18,0.38,38,1
2026-09-14,SEC-C01,18,21,0.52,52,2
2026-09-14,SEC-C01,21,24,0.4,40,1
2026-09-15,SEC-A01,0,3,0.61,61,1
2026-09-15,SEC-A01,3,6,0.71,71,9
2026-09-15,SEC-A01,6,9,0.94,94,10
2026-09-15,SEC-A01,9,12,0.87,87,6
2026-09-15,SEC-A01,12,15,0.67,67,2
2026-09-15,SEC-A01,15,18,0.84,84,6
2026-09-15,SEC-A01,18,21,0.81,81,3
2026-09-15,SEC-A01,21,24,0.82,82,3
2026-09-15,SEC-A02,0,3,0.66,66,5
2026-09-15,SEC-A02,3,6,0.73,73,5
2026-09-15,SEC-A02,6,9,0.89,89,6
2026-09-15,SEC-A02,9,12,0.86,86,4
2026-09-15,SEC-A02,12,15,0.75,75,3
2026-09-15,SEC-A02,15,18,0.72,72,4
2026-09-15,SEC-A02,18,21,0.87,87,3
2026-09-15,SEC-A02,21,24,0.69,69,6
2026-09-15,SEC-B01,0,3,0.42,42,4
2026-09-15,SEC-B01,3,6,0.45,45,3
2026-09-15,SEC-B01,6,9,0.57,57,0
2026-09-15,SEC-B01,9,12,0.66,66,10
2026-09-15,SEC-B01,12,15,0.51,51,4
2026-09-15,SEC-B01,15,18,0.63,63,3
2026-09-15,SEC-B01,18,21,0.73,73,10
2026-09-15,SEC-B01,21,24,0.61,61,1
2026-09-15,SEC-B02,0,3,0.43,43,3
2026-09-15,SEC-B02,3,6,0.44,44,5
2026-09-15,SEC-B02,6,9,0.61,61,0
2026-09-15,SEC-B02,9,12,0.65,65,6
2026-09-15,SEC-B02,12,15,0.47,47,4
2026-09-15,SEC-B02,15,18,0.45,45,2
2026-09-15,SEC-B02,18,21,0.68,68,5
2026-09-15,SEC-B02,21,24,0.68,68,6
2026-09-15,SEC-C01,0,3,0.19,19,0
2026-09-15,SEC-C01,3,6,0.29,29,3
2026-09-15,SEC-C01,6,9,0.4,40,3
2026-09-15,SEC-C01,9,12,0.46,46,5
2026-09-15,SEC-C01,12,15,0.37,37,3
2026-09-15,SEC-C01,15,18,0.32,32,3
2026-09-15,SEC-C01,18,21,0.47,47,0
2026-09-15,SEC-C01,21,24,0.41,41,3
2026-09-16,SEC-A01,0,3,0.63,63,4
2026-09-16,SEC-A01,3,6,0.63,63,5
2026-09-16,SEC-A01,6,9,0.8,80,3
2026-09-16,SEC-A01,9,12,0.83,83,4
2026-09-16,SEC-A01,12,15,0.63,63,5
2026-09-16,SEC-A01,15,18,0.69,69,4
2026-09-16,SEC-A01,18,21,0.82,82,7
2026-09-16,SEC-A01,21,24,0.82,82,2
2026-09-16,SEC-A02,0,3,0.63,63,2
2026-09-16,SEC-A02,3,6,0.64,64,3
2026-09-16,SEC-A02,6,9,0.87,87,9
2026-09-16,SEC-A02,9,12,0.89,89,10
2026-09-16,SEC-A02,12,15,0.68,68,8
2026-09-16,SEC-A02,15,18,0.65,65,9
2026-09-16,SEC-A02,18,21,0.78,78,8
2026-09-16,SEC-A02,21,24,0.81,81,3
2026-09-16,SEC-B01,0,3,0.42,42,0
2026-09-16,SEC-B01,3,6,0.39,39,3
2026-09-16,SEC-B01,6,9,0.56,56,5
2026-09-16,SEC-B01,9,12,0.61,61,0
2026-09-16,SEC-B01,12,15,0.53,53,1
2026-09-16,SEC-B01,15,18,0.56,56,1
2026-09-16,SEC-B01,18,21,0.61,61,2
2026-09-16,SEC-B01,21,24,0.62,62,1
