inspection_id,work_order_id,inspector_team,inspection_date,outcome,remarks,evidence_reference
INSP-002,WO-TMS-2026-0002,Surveillance Team 1,2026-09-15,PASS,Safety checklist complete,EVD-INSP-002
INSP-003,WO-TMS-2026-0003,Surveillance Team 1,2026-09-15,OBSERVATION_RAISED,Safety checklist complete,EVD-INSP-003
INSP-005,WO-TMS-2026-0005,Surveillance Team 1,2026-09-10,PASS,Work quality verified,EVD-INSP-005
INSP-007,WO-TMS-2026-0007,Surveillance Team 1,2026-09-16,PASS,Safety checklist complete,EVD-INSP-007
INSP-009,WO-TMS-2026-0009,Surveillance Team 1,2026-09-07,PASS,Safety checklist complete,EVD-INSP-009
INSP-010,WO-TMS-2026-0010,Surveillance Team 1,2026-09-13,OBSERVATION_RAISED,Safety checklist complete,EVD-INSP-010
INSP-011,WO-TMS-2026-0011,Surveillance Team 1,2026-09-08,PASS,Minor documentation gap,EVD-INSP-011
INSP-014,WO-TMS-2026-0014,Surveillance Team 1,2026-09-07,PASS,Work quality verified,EVD-INSP-014
INSP-017,WO-TMS-2026-0017,Surveillance Team 1,2026-09-12,OBSERVATION_RAISED,Minor documentation gap,EVD-INSP-017
INSP-020,WO-TMS-2026-0020,Surveillance Team 1,2026-09-15,OBSERVATION_RAISED,Minor documentation gap,EVD-INSP-020
INSP-021,WO-TMS-2026-0021,Surveillance Team 1,2026-09-07,PASS,Work quality verified,EVD-INSP-021
INSP-022,WO-TMS-2026-0022,Surveillance Team 1,2026-09-10,PASS,Safety checklist complete,EVD-INSP-022
INSP-024,WO-TMS-2026-0024,Surveillance Team 1,2026-09-11,OBSERVATION_RAISED,Safety checklist complete,EVD-INSP-024
INSP-026,WO-TMS-2026-0026,Surveillance Team 1,2026-09-12,PASS,Work quality verified,EVD-INSP-026
INSP-027,WO-TMS-2026-0027,Surveillance Team 1,2026-09-15,PASS,Safety checklist complete,EVD-INSP-027
INSP-028,WO-TMS-2026-0028,Surveillance Team 1,2026-09-17,PASS,Safety checklist complete,EVD-INSP-028
INSP-035,WO-TDMS-2026-0035,Surveillance Team 1,2026-09-13,OBSERVATION_RAISED,Safety checklist complete,EVD-INSP-035
INSP-036,WO-TDMS-2026-0036,Surveillance Team 1,2026-09-10,PASS,Safety checklist complete,EVD-INSP-036
