date,section_id,department,teams_available,equipment_status,material_status
2026-09-07,SEC-A01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-07,SEC-A01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-07,SEC-A01,S&T,1,AVAILABLE,AVAILABLE
2026-09-08,SEC-A01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-08,SEC-A01,TRACTION,1,AVAILABLE,LOW_STOCK
2026-09-08,SEC-A01,S&T,2,AVAILABLE,AVAILABLE
2026-09-09,SEC-A01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-09,SEC-A01,TRACTION,1,LIMITED,AVAILABLE
2026-09-09,SEC-A01,S&T,1,AVAILABLE,LOW_STOCK
2026-09-10,SEC-A01,ENGINEERING,1,LIMITED,AVAILABLE
2026-09-10,SEC-A01,TRACTION,1,AVAILABLE,LOW_STOCK
2026-09-10,SEC-A01,S&T,1,AVAILABLE,AVAILABLE
2026-09-11,SEC-A01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-11,SEC-A01,TRACTION,1,LIMITED,AVAILABLE
2026-09-11,SEC-A01,S&T,1,AVAILABLE,AVAILABLE
2026-09-12,SEC-A01,ENGINEERING,1,LIMITED,LOW_STOCK
2026-09-12,SEC-A01,TRACTION,2,LIMITED,AVAILABLE
2026-09-12,SEC-A01,S&T,1,AVAILABLE,AVAILABLE
2026-09-13,SEC-A01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-13,SEC-A01,TRACTION,1,LIMITED,AVAILABLE
2026-09-13,SEC-A01,S&T,1,LIMITED,AVAILABLE
2026-09-14,SEC-A01,ENGINEERING,1,LIMITED,AVAILABLE
2026-09-14,SEC-A01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-14,SEC-A01,S&T,2,LIMITED,AVAILABLE
2026-09-15,SEC-A01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-15,SEC-A01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-15,SEC-A01,S&T,1,LIMITED,AVAILABLE
2026-09-16,SEC-A01,ENGINEERING,2,AVAILABLE,AVAILABLE
2026-09-16,SEC-A01,TRACTION,1,LIMITED,AVAILABLE
2026-09-16,SEC-A01,S&T,1,LIMITED,AVAILABLE
2026-09-17,SEC-A01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-17,SEC-A01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-17,SEC-A01,S&T,1,AVAILABLE,LOW_STOCK
2026-09-18,SEC-A01,ENGINEERING,2,LIMITED,AVAILABLE
2026-09-18,SEC-A01,TRACTION,1,LIMITED,AVAILABLE
2026-09-18,SEC-A01,S&T,1,AVAILABLE,AVAILABLE
2026-09-19,SEC-A01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-19,SEC-A01,TRACTION,2,AVAILABLE,AVAILABLE
2026-09-19,SEC-A01,S&T,2,AVAILABLE,AVAILABLE
2026-09-20,SEC-A01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-20,SEC-A01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-20,SEC-A01,S&T,1,AVAILABLE,AVAILABLE
2026-09-21,SEC-A01,ENGINEERING,1,LIMITED,AVAILABLE
2026-09-21,SEC-A01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-21,SEC-A01,S&T,2,AVAILABLE,AVAILABLE
2026-09-22,SEC-A01,ENGINEERING,1,LIMITED,LOW_STOCK
2026-09-22,SEC-A01,TRACTION,1,LIMITED,AVAILABLE
2026-09-22,SEC-A01,S&T,1,AVAILABLE,LOW_STOCK
2026-09-23,SEC-A01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-23,SEC-A01,TRACTION,1,AVAILABLE,LOW_STOCK
2026-09-23,SEC-A01,S&T,1,LIMITED,LOW_STOCK
2026-09-24,SEC-A01,ENGINEERING,1,LIMITED,AVAILABLE
2026-09-24,SEC-A01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-24,SEC-A01,S&T,1,LIMITED,AVAILABLE
2026-09-25,SEC-A01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-25,SEC-A01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-25,SEC-A01,S&T,2,AVAILABLE,LOW_STOCK
2026-09-26,SEC-A01,ENGINEERING,2,AVAILABLE,LOW_STOCK
2026-09-26,SEC-A01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-26,SEC-A01,S&T,1,AVAILABLE,LOW_STOCK
2026-09-27,SEC-A01,ENGINEERING,1,LIMITED,AVAILABLE
2026-09-27,SEC-A01,TRACTION,1,LIMITED,AVAILABLE
2026-09-27,SEC-A01,S&T,1,AVAILABLE,AVAILABLE
2026-09-28,SEC-A01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-28,SEC-A01,TRACTION,1,LIMITED,AVAILABLE
2026-09-28,SEC-A01,S&T,2,AVAILABLE,AVAILABLE
2026-09-29,SEC-A01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-29,SEC-A01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-29,SEC-A01,S&T,2,AVAILABLE,LOW_STOCK
2026-09-30,SEC-A01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-30,SEC-A01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-30,SEC-A01,S&T,1,AVAILABLE,AVAILABLE
2026-10-01,SEC-A01,ENGINEERING,1,LIMITED,AVAILABLE
2026-10-01,SEC-A01,TRACTION,1,AVAILABLE,AVAILABLE
2026-10-01,SEC-A01,S&T,1,LIMITED,AVAILABLE
2026-10-02,SEC-A01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-10-02,SEC-A01,TRACTION,2,LIMITED,AVAILABLE
2026-10-02,SEC-A01,S&T,1,LIMITED,AVAILABLE
2026-10-03,SEC-A01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-10-03,SEC-A01,TRACTION,1,LIMITED,AVAILABLE
2026-10-03,SEC-A01,S&T,2,LIMITED,LOW_STOCK
2026-10-04,SEC-A01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-10-04,SEC-A01,TRACTION,1,LIMITED,AVAILABLE
2026-10-04,SEC-A01,S&T,1,AVAILABLE,AVAILABLE
2026-09-07,SEC-A02,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-07,SEC-A02,TRACTION,1,AVAILABLE,LOW_STOCK
2026-09-07,SEC-A02,S&T,1,AVAILABLE,AVAILABLE
2026-09-08,SEC-A02,ENGINEERING,1,LIMITED,AVAILABLE
2026-09-08,SEC-A02,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-08,SEC-A02,S&T,2,AVAILABLE,AVAILABLE
2026-09-09,SEC-A02,ENGINEERING,1,LIMITED,LOW_STOCK
2026-09-09,SEC-A02,TRACTION,1,LIMITED,AVAILABLE
2026-09-09,SEC-A02,S&T,2,AVAILABLE,AVAILABLE
2026-09-10,SEC-A02,ENGINEERING,1,LIMITED,AVAILABLE
2026-09-10,SEC-A02,TRACTION,2,AVAILABLE,LOW_STOCK
2026-09-10,SEC-A02,S&T,1,AVAILABLE,AVAILABLE
2026-09-11,SEC-A02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-11,SEC-A02,TRACTION,1,LIMITED,AVAILABLE
2026-09-11,SEC-A02,S&T,1,AVAILABLE,AVAILABLE
2026-09-12,SEC-A02,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-12,SEC-A02,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-12,SEC-A02,S&T,2,LIMITED,LOW_STOCK
2026-09-13,SEC-A02,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-13,SEC-A02,TRACTION,1,LIMITED,AVAILABLE
2026-09-13,SEC-A02,S&T,1,AVAILABLE,AVAILABLE
2026-09-14,SEC-A02,ENGINEERING,1,LIMITED,LOW_STOCK
2026-09-14,SEC-A02,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-14,SEC-A02,S&T,1,AVAILABLE,LOW_STOCK
2026-09-15,SEC-A02,ENGINEERING,1,LIMITED,LOW_STOCK
2026-09-15,SEC-A02,TRACTION,2,AVAILABLE,AVAILABLE
2026-09-15,SEC-A02,S&T,1,AVAILABLE,AVAILABLE
2026-09-16,SEC-A02,ENGINEERING,1,LIMITED,LOW_STOCK
2026-09-16,SEC-A02,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-16,SEC-A02,S&T,2,AVAILABLE,LOW_STOCK
2026-09-17,SEC-A02,ENGINEERING,2,AVAILABLE,AVAILABLE
2026-09-17,SEC-A02,TRACTION,1,LIMITED,AVAILABLE
2026-09-17,SEC-A02,S&T,1,LIMITED,AVAILABLE
2026-09-18,SEC-A02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-18,SEC-A02,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-18,SEC-A02,S&T,1,LIMITED,AVAILABLE
2026-09-19,SEC-A02,ENGINEERING,2,AVAILABLE,LOW_STOCK
2026-09-19,SEC-A02,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-19,SEC-A02,S&T,1,AVAILABLE,LOW_STOCK
2026-09-20,SEC-A02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-20,SEC-A02,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-20,SEC-A02,S&T,1,LIMITED,AVAILABLE
2026-09-21,SEC-A02,ENGINEERING,1,LIMITED,LOW_STOCK
2026-09-21,SEC-A02,TRACTION,1,LIMITED,AVAILABLE
2026-09-21,SEC-A02,S&T,1,AVAILABLE,AVAILABLE
2026-09-22,SEC-A02,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-22,SEC-A02,TRACTION,2,LIMITED,AVAILABLE
2026-09-22,SEC-A02,S&T,1,LIMITED,LOW_STOCK
2026-09-23,SEC-A02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-23,SEC-A02,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-23,SEC-A02,S&T,1,AVAILABLE,AVAILABLE
2026-09-24,SEC-A02,ENGINEERING,1,LIMITED,LOW_STOCK
2026-09-24,SEC-A02,TRACTION,1,AVAILABLE,LOW_STOCK
2026-09-24,SEC-A02,S&T,1,LIMITED,AVAILABLE
2026-09-25,SEC-A02,ENGINEERING,2,AVAILABLE,AVAILABLE
2026-09-25,SEC-A02,TRACTION,1,AVAILABLE,LOW_STOCK
2026-09-25,SEC-A02,S&T,1,LIMITED,LOW_STOCK
2026-09-26,SEC-A02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-26,SEC-A02,TRACTION,1,AVAILABLE,LOW_STOCK
2026-09-26,SEC-A02,S&T,1,AVAILABLE,LOW_STOCK
2026-09-27,SEC-A02,ENGINEERING,2,LIMITED,LOW_STOCK
2026-09-27,SEC-A02,TRACTION,1,LIMITED,AVAILABLE
2026-09-27,SEC-A02,S&T,1,AVAILABLE,AVAILABLE
2026-09-28,SEC-A02,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-28,SEC-A02,TRACTION,2,LIMITED,AVAILABLE
2026-09-28,SEC-A02,S&T,1,LIMITED,LOW_STOCK
2026-09-29,SEC-A02,ENGINEERING,2,AVAILABLE,AVAILABLE
2026-09-29,SEC-A02,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-29,SEC-A02,S&T,2,AVAILABLE,AVAILABLE
2026-09-30,SEC-A02,ENGINEERING,1,LIMITED,AVAILABLE
2026-09-30,SEC-A02,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-30,SEC-A02,S&T,1,AVAILABLE,AVAILABLE
2026-10-01,SEC-A02,ENGINEERING,2,AVAILABLE,LOW_STOCK
2026-10-01,SEC-A02,TRACTION,1,AVAILABLE,LOW_STOCK
2026-10-01,SEC-A02,S&T,1,AVAILABLE,AVAILABLE
2026-10-02,SEC-A02,ENGINEERING,1,LIMITED,AVAILABLE
2026-10-02,SEC-A02,TRACTION,2,AVAILABLE,AVAILABLE
2026-10-02,SEC-A02,S&T,2,AVAILABLE,AVAILABLE
2026-10-03,SEC-A02,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-10-03,SEC-A02,TRACTION,1,AVAILABLE,AVAILABLE
2026-10-03,SEC-A02,S&T,1,AVAILABLE,AVAILABLE
2026-10-04,SEC-A02,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-10-04,SEC-A02,TRACTION,1,LIMITED,LOW_STOCK
2026-10-04,SEC-A02,S&T,1,AVAILABLE,AVAILABLE
2026-09-07,SEC-B01,ENGINEERING,1,AVAILABLE,AVAILABLE
2026-09-07,SEC-B01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-07,SEC-B01,S&T,1,AVAILABLE,LOW_STOCK
2026-09-08,SEC-B01,ENGINEERING,1,LIMITED,AVAILABLE
2026-09-08,SEC-B01,TRACTION,1,AVAILABLE,LOW_STOCK
2026-09-08,SEC-B01,S&T,1,AVAILABLE,AVAILABLE
2026-09-09,SEC-B01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-09,SEC-B01,TRACTION,2,LIMITED,AVAILABLE
2026-09-09,SEC-B01,S&T,1,LIMITED,AVAILABLE
2026-09-10,SEC-B01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-10,SEC-B01,TRACTION,1,LIMITED,LOW_STOCK
2026-09-10,SEC-B01,S&T,1,AVAILABLE,AVAILABLE
2026-09-11,SEC-B01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-11,SEC-B01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-11,SEC-B01,S&T,2,AVAILABLE,LOW_STOCK
2026-09-12,SEC-B01,ENGINEERING,1,AVAILABLE,LOW_STOCK
2026-09-12,SEC-B01,TRACTION,2,AVAILABLE,AVAILABLE
2026-09-12,SEC-B01,S&T,1,AVAILABLE,LOW_STOCK
2026-09-13,SEC-B01,ENGINEERING,2,LIMITED,LOW_STOCK
2026-09-13,SEC-B01,TRACTION,1,AVAILABLE,AVAILABLE
2026-09-13,SEC-B01,S&T,1,AVAILABLE,AVAILABLE
2026-09-14,SEC-B01,ENGINEERING,1,AVAILABLE,AVAILABLE
