train_id,train_number,service_date,section_id,section_name,train_type,scheduled_entry,scheduled_exit,historical_delay_minutes,direction,operational_status
TR-11000,11000,2026-09-07,SEC-A01,Nagpur–Wardha,FREIGHT,2026-09-07 00:13:19.600132,2026-09-07 00:53:19.600132,7,UP,RUNNING
TR-11001,11001,2026-09-07,SEC-A01,Nagpur–Wardha,PASSENGER,2026-09-07 00:53:39.822989,2026-09-07 01:28:39.822989,8,DN,RUNNING
TR-11002,11002,2026-09-07,SEC-A01,Nagpur–Wardha,EXPRESS,2026-09-07 02:21:09.449551,2026-09-07 03:01:09.449551,14,DN,RUNNING
TR-11003,11003,2026-09-07,SEC-A01,Nagpur–Wardha,PASSENGER,2026-09-07 03:11:24.343385,2026-09-07 03:56:24.343385,2,DN,DELAYED
TR-11004,11004,2026-09-07,SEC-A01,Nagpur–Wardha,FREIGHT,2026-09-07 04:35:14.192969,2026-09-07 05:05:14.192969,6,UP,RUNNING
TR-11005,11005,2026-09-07,SEC-A01,Nagpur–Wardha,EXPRESS,2026-09-07 05:41:20.069036,2026-09-07 06:16:20.069036,15,DN,DELAYED
TR-11006,11006,2026-09-07,SEC-A01,Nagpur–Wardha,FREIGHT,2026-09-07 06:41:11.190229,2026-09-07 07:16:11.190229,13,DN,RUNNING
TR-11007,11007,2026-09-07,SEC-A01,Nagpur–Wardha,PASSENGER,2026-09-07 07:26:35.907173,2026-09-07 08:11:35.907173,0,UP,DELAYED
TR-11008,11008,2026-09-07,SEC-A01,Nagpur–Wardha,EXPRESS,2026-09-07 08:29:26.630814,2026-09-07 09:09:26.630814,7,UP,RUNNING
TR-11009,11009,2026-09-07,SEC-A01,Nagpur–Wardha,EXPRESS,2026-09-07 09:58:01.288483,2026-09-07 10:23:01.288483,0,DN,RUNNING
TR-11010,11010,2026-09-07,SEC-A01,Nagpur–Wardha,PASSENGER,2026-09-07 10:43:43.249694,2026-09-07 11:18:43.249694,0,UP,RUNNING
TR-11011,11011,2026-09-07,SEC-A01,Nagpur–Wardha,FREIGHT,2026-09-07 12:08:40.338174,2026-09-07 12:33:40.338174,9,DN,DELAYED
TR-11012,11012,2026-09-07,SEC-A01,Nagpur–Wardha,EXPRESS,2026-09-07 13:02:28.721902,2026-09-07 13:47:28.721902,0,DN,DELAYED
TR-11013,11013,2026-09-07,SEC-A01,Nagpur–Wardha,EXPRESS,2026-09-07 13:57:00.722750,2026-09-07 14:32:00.722750,0,UP,SCHEDULED
TR-11014,11014,2026-09-07,SEC-A01,Nagpur–Wardha,PASSENGER,2026-09-07 15:24:25.935468,2026-09-07 15:59:25.935468,0,UP,DELAYED
TR-11015,11015,2026-09-07,SEC-A01,Nagpur–Wardha,SPECIAL,2026-09-07 16:36:19.585680,2026-09-07 17:16:19.585680,0,DN,RUNNING
TR-11016,11016,2026-09-07,SEC-A01,Nagpur–Wardha,PASSENGER,2026-09-07 17:15:27.063829,2026-09-07 17:40:27.063829,6,UP,RUNNING
TR-11017,11017,2026-09-07,SEC-A01,Nagpur–Wardha,EXPRESS,2026-09-07 18:28:57.051586,2026-09-07 19:08:57.051586,0,UP,RUNNING
TR-11018,11018,2026-09-07,SEC-A01,Nagpur–Wardha,PASSENGER,2026-09-07 19:53:06.773997,2026-09-07 20:33:06.773997,0,DN,SCHEDULED
