execution_id,work_order_id,department,status,planned_start,actual_start,actual_end,delay_reason,evidence_reference
EXEC-001,WO-TMS-2026-0001,ENGINEERING,PLANNED,2026-09-16 03:00:00,,,Weather,EVD-EXEC-001
EXEC-002,WO-TMS-2026-0002,ENGINEERING,COMPLETED,2026-09-15 01:00:00,2026-09-15 01:10:00,2026-09-15 02:40:00,Train delay,EVD-EXEC-002
EXEC-003,WO-TMS-2026-0003,ENGINEERING,COMPLETED,2026-09-15 03:00:00,2026-09-15 03:15:00,2026-09-15 04:00:00,Resource delay,EVD-EXEC-003
EXEC-004,WO-TMS-2026-0004,ENGINEERING,DELAYED,2026-09-16 02:00:00,2026-09-16 02:00:00,2026-09-16 02:45:00,Additional defect,EVD-EXEC-004
EXEC-005,WO-TMS-2026-0005,ENGINEERING,COMPLETED,2026-09-10 01:00:00,2026-09-10 01:15:00,2026-09-10 02:00:00,Resource delay,EVD-EXEC-005
EXEC-006,WO-TMS-2026-0006,ENGINEERING,PLANNED,2026-09-11 04:00:00,,,Additional defect,EVD-EXEC-006
EXEC-007,WO-TMS-2026-0007,ENGINEERING,COMPLETED,2026-09-16 03:00:00,2026-09-16 03:15:00,2026-09-16 04:00:00,Resource delay,EVD-EXEC-007
EXEC-008,WO-TMS-2026-0008,ENGINEERING,IN_PROGRESS,2026-09-17 01:00:00,2026-09-17 01:00:00,2026-09-17 01:35:00,Weather,EVD-EXEC-008
EXEC-009,WO-TMS-2026-0009,ENGINEERING,COMPLETED,2026-09-07 02:00:00,2026-09-07 02:10:00,2026-09-07 03:10:00,Resource delay,EVD-EXEC-009
EXEC-010,WO-TMS-2026-0010,ENGINEERING,COMPLETED,2026-09-13 03:00:00,2026-09-13 03:00:00,2026-09-13 04:00:00,Resource delay,EVD-EXEC-010
EXEC-011,WO-TMS-2026-0011,ENGINEERING,COMPLETED,2026-09-08 02:00:00,2026-09-08 02:00:00,2026-09-08 03:15:00,Additional defect,EVD-EXEC-011
EXEC-012,WO-TMS-2026-0012,ENGINEERING,PLANNED,2026-09-08 02:00:00,,,Weather,EVD-EXEC-012
EXEC-013,WO-TMS-2026-0013,ENGINEERING,IN_PROGRESS,2026-09-07 01:00:00,2026-09-07 01:10:00,2026-09-07 01:55:00,,EVD-EXEC-013
EXEC-014,WO-TMS-2026-0014,ENGINEERING,COMPLETED,2026-09-07 03:00:00,2026-09-07 03:00:00,2026-09-07 05:00:00,Weather,EVD-EXEC-014
EXEC-015,WO-TMS-2026-0015,ENGINEERING,PLANNED,2026-09-07 02:00:00,,,Weather,EVD-EXEC-015
EXEC-016,WO-TMS-2026-0016,ENGINEERING,IN_PROGRESS,2026-09-12 02:00:00,2026-09-12 02:00:00,2026-09-12 03:15:00,Weather,EVD-EXEC-016
EXEC-017,WO-TMS-2026-0017,ENGINEERING,COMPLETED,2026-09-12 04:00:00,2026-09-12 04:15:00,2026-09-12 06:05:00,Resource delay,EVD-EXEC-017
EXEC-018,WO-TMS-2026-0018,ENGINEERING,IN_PROGRESS,2026-09-11 02:00:00,2026-09-11 02:00:00,2026-09-11 04:00:00,Resource delay,EVD-EXEC-018
EXEC-019,WO-TMS-2026-0019,ENGINEERING,IN_PROGRESS,2026-09-15 03:00:00,2026-09-15 03:15:00,2026-09-15 05:00:00,Resource delay,EVD-EXEC-019
EXEC-020,WO-TMS-2026-0020,ENGINEERING,COMPLETED,2026-09-15 02:00:00,2026-09-15 02:10:00,2026-09-15 02:45:00,,EVD-EXEC-020
EXEC-021,WO-TMS-2026-0021,ENGINEERING,COMPLETED,2026-09-07 01:00:00,2026-09-07 01:00:00,2026-09-07 02:15:00,Resource delay,EVD-EXEC-021
EXEC-022,WO-TMS-2026-0022,ENGINEERING,COMPLETED,2026-09-10 02:00:00,2026-09-10 02:00:00,2026-09-10 03:15:00,Resource delay,EVD-EXEC-022
EXEC-023,WO-TMS-2026-0023,ENGINEERING,IN_PROGRESS,2026-09-12 04:00:00,2026-09-12 04:00:00,2026-09-12 06:30:00,Weather,EVD-EXEC-023
EXEC-024,WO-TMS-2026-0024,ENGINEERING,COMPLETED,2026-09-11 03:00:00,2026-09-11 03:10:00,2026-09-11 05:10:00,Weather,EVD-EXEC-024
EXEC-025,WO-TMS-2026-0025,ENGINEERING,DELAYED,2026-09-14 04:00:00,2026-09-14 04:10:00,2026-09-14 05:40:00,Train delay,EVD-EXEC-025
EXEC-026,WO-TMS-2026-0026,ENGINEERING,COMPLETED,2026-09-12 02:00:00,2026-09-12 02:10:00,2026-09-12 03:10:00,Train delay,EVD-EXEC-026
EXEC-027,WO-TMS-2026-0027,ENGINEERING,COMPLETED,2026-09-15 01:00:00,2026-09-15 01:00:00,2026-09-15 02:00:00,,EVD-EXEC-027
EXEC-028,WO-TMS-2026-0028,ENGINEERING,COMPLETED,2026-09-17 03:00:00,2026-09-17 03:00:00,2026-09-17 04:20:00,Weather,EVD-EXEC-028
EXEC-029,WO-TMS-2026-0029,ENGINEERING,DELAYED,2026-09-11 04:00:00,2026-09-11 04:00:00,2026-09-11 06:00:00,Additional defect,EVD-EXEC-029
EXEC-030,WO-TMS-2026-0030,ENGINEERING,IN_PROGRESS,2026-09-07 02:00:00,2026-09-07 02:15:00,2026-09-07 03:45:00,Additional defect,EVD-EXEC-030
