work_order_id,defect_id,department,section_id,km_location,estimated_duration_minutes,block_requirement,required_team,readiness_status,work_order_status,priority_input
WO-TMS-2026-0001,TMS-2026-0001,ENGINEERING,SEC-C01,349.983,30,TRAFFIC_BLOCK,Track team A,Inspection pending,OPEN,LOW
WO-TMS-2026-0002,TMS-2026-0002,ENGINEERING,SEC-C01,347.584,60,TRAFFIC_BLOCK,Track team B,Inspection pending,PLANNED,MEDIUM
WO-TMS-2026-0003,TMS-2026-0003,ENGINEERING,SEC-A02,98.744,45,TRAFFIC_BLOCK,Track team A,Material pending,PLANNED,LOW
WO-TMS-2026-0004,TMS-2026-0004,ENGINEERING,SEC-C01,380.641,30,TRAFFIC_BLOCK,Track team B,Ready,PLANNED,LOW
WO-TMS-2026-0005,TMS-2026-0005,ENGINEERING,SEC-C01,338.958,30,TRAFFIC_BLOCK,Track team A,Material pending,PLANNED,LOW
WO-TMS-2026-0006,TMS-2026-0006,ENGINEERING,SEC-A01,43.431,60,TRAFFIC_BLOCK,Track team A,Inspection pending,PLANNED,MEDIUM
WO-TMS-2026-0007,TMS-2026-0007,ENGINEERING,SEC-A02,140.965,30,TRAFFIC_BLOCK,Track team A,Ready,PLANNED,LOW
WO-TMS-2026-0008,TMS-2026-0008,ENGINEERING,SEC-C01,360.824,45,TRAFFIC_BLOCK,Track team A,Ready,OPEN,MEDIUM
WO-TMS-2026-0009,TMS-2026-0009,ENGINEERING,SEC-B02,309.53,60,TRAFFIC_BLOCK,Track team B,Ready,OPEN,MEDIUM
WO-TMS-2026-0010,TMS-2026-0010,ENGINEERING,SEC-B02,255.157,45,TRAFFIC_BLOCK,Track team B,Ready,PLANNED,MEDIUM
WO-TMS-2026-0011,TMS-2026-0011,ENGINEERING,SEC-C01,370.486,60,TRAFFIC_BLOCK,Track team A,Material pending,OPEN,LOW
WO-TMS-2026-0012,TMS-2026-0012,ENGINEERING,SEC-A02,83.803,90,TRAFFIC_BLOCK,Track team B,Material pending,OPEN,HIGH
WO-TMS-2026-0013,TMS-2026-0013,ENGINEERING,SEC-B01,222.692,45,TRAFFIC_BLOCK,Track team A,Ready,PLANNED,MEDIUM
WO-TMS-2026-0014,TMS-2026-0014,ENGINEERING,SEC-B01,187.385,90,TRAFFIC_BLOCK,Track team B,Inspection pending,OPEN,MEDIUM
WO-TMS-2026-0015,TMS-2026-0015,ENGINEERING,SEC-B01,166.014,45,TRAFFIC_BLOCK,Track team A,Ready,OPEN,MEDIUM
WO-TMS-2026-0016,TMS-2026-0016,ENGINEERING,SEC-A02,86.849,60,TRAFFIC_BLOCK,Track team B,Ready,PLANNED,LOW
WO-TMS-2026-0017,TMS-2026-0017,ENGINEERING,SEC-A02,148.727,120,TRAFFIC_BLOCK,Track team B,Ready,OPEN,HIGH
WO-TMS-2026-0018,TMS-2026-0018,ENGINEERING,SEC-B01,155.815,90,TRAFFIC_BLOCK,Track team A,Ready,PLANNED,MEDIUM
WO-TMS-2026-0019,TMS-2026-0019,ENGINEERING,SEC-B02,331.163,90,TRAFFIC_BLOCK,Track team A,Inspection pending,OPEN,MEDIUM
WO-TMS-2026-0020,TMS-2026-0020,ENGINEERING,SEC-A01,43.049,45,TRAFFIC_BLOCK,Track team B,Ready,PLANNED,MEDIUM
WO-TMS-2026-0021,TMS-2026-0021,ENGINEERING,SEC-A01,2.418,60,TRAFFIC_BLOCK,Track team B,Ready,PLANNED,LOW
WO-TMS-2026-0022,TMS-2026-0022,ENGINEERING,SEC-B02,333.62,60,TRAFFIC_BLOCK,Track team B,Material pending,PLANNED,LOW
WO-TMS-2026-0023,TMS-2026-0023,ENGINEERING,SEC-C01,381.672,150,TRAFFIC_BLOCK,Track team B,Inspection pending,PLANNED,CRITICAL
WO-TMS-2026-0024,TMS-2026-0024,ENGINEERING,SEC-B02,305.202,90,TRAFFIC_BLOCK,Track team B,Ready,PLANNED,MEDIUM
WO-TMS-2026-0025,TMS-2026-0025,ENGINEERING,SEC-A01,16.514,60,TRAFFIC_BLOCK,Track team B,Ready,PLANNED,LOW
WO-TMS-2026-0026,TMS-2026-0026,ENGINEERING,SEC-A02,146.725,45,TRAFFIC_BLOCK,Track team B,Ready,OPEN,MEDIUM
WO-TMS-2026-0027,TMS-2026-0027,ENGINEERING,SEC-C01,340.749,60,TRAFFIC_BLOCK,Track team A,Ready,OPEN,MEDIUM
WO-TMS-2026-0028,TMS-2026-0028,ENGINEERING,SEC-A02,153.604,90,TRAFFIC_BLOCK,Track team B,Inspection pending,PLANNED,MEDIUM
WO-TMS-2026-0029,TMS-2026-0029,ENGINEERING,SEC-B01,219.732,120,TRAFFIC_BLOCK,Track team B,Ready,OPEN,HIGH
WO-TMS-2026-0030,TMS-2026-0030,ENGINEERING,SEC-A02,119.917,60,TRAFFIC_BLOCK,Track team B,Ready,PLANNED,MEDIUM
WO-TDMS-2026-0031,TDMS-2026-0031,TRACTION,SEC-C01,342.413,45,POWER_AND_TRAFFIC_BLOCK,OHE team A,Ready,PLANNED,MEDIUM
WO-TDMS-2026-0032,TDMS-2026-0032,TRACTION,SEC-A02,92.739,60,POWER_AND_TRAFFIC_BLOCK,OHE team B,Ready,PLANNED,MEDIUM
WO-TDMS-2026-0033,TDMS-2026-0033,TRACTION,SEC-B01,231.373,120,POWER_AND_TRAFFIC_BLOCK,OHE team B,Ready,PLANNED,HIGH
WO-TDMS-2026-0034,TDMS-2026-0034,TRACTION,SEC-A02,90.418,150,POWER_AND_TRAFFIC_BLOCK,OHE team A,Ready,PLANNED,CRITICAL
WO-TDMS-2026-0035,TDMS-2026-0035,TRACTION,SEC-A01,73.765,90,POWER_AND_TRAFFIC_BLOCK,OHE team A,Inspection pending,OPEN,HIGH
WO-TDMS-2026-0036,TDMS-2026-0036,TRACTION,SEC-A02,108.903,60,POWER_AND_TRAFFIC_BLOCK,OHE team A,Ready,OPEN,MEDIUM
WO-TDMS-2026-0037,TDMS-2026-0037,TRACTION,SEC-A01,69.951,60,POWER_AND_TRAFFIC_BLOCK,OHE team A,Ready,OPEN,MEDIUM
WO-TDMS-2026-0038,TDMS-2026-0038,TRACTION,SEC-A02,131.257,30,POWER_AND_TRAFFIC_BLOCK,OHE team A,Ready,OPEN,LOW
WO-TDMS-2026-0039,TDMS-2026-0039,TRACTION,SEC-A02,113.778,60,POWER_AND_TRAFFIC_BLOCK,OHE team A,Ready,PLANNED,LOW
WO-TDMS-2026-0040,TDMS-2026-0040,TRACTION,SEC-A01,1.615,60,POWER_AND_TRAFFIC_BLOCK,OHE team B,Ready,PLANNED,LOW
WO-TDMS-2026-0041,TDMS-2026-0041,TRACTION,SEC-C01,376.238,45,POWER_AND_TRAFFIC_BLOCK,OHE team B,Ready,OPEN,LOW
WO-TDMS-2026-0042,TDMS-2026-0042,TRACTION,SEC-C01,382.549,120,POWER_AND_TRAFFIC_BLOCK,OHE team B,Ready,OPEN,CRITICAL
WO-TDMS-2026-0043,TDMS-2026-0043,TRACTION,SEC-B02,320.682,150,POWER_AND_TRAFFIC_BLOCK,OHE team B,Inspection pending,PLANNED,CRITICAL
WO-TDMS-2026-0044,TDMS-2026-0044,TRACTION,SEC-A01,4.607,90,POWER_AND_TRAFFIC_BLOCK,OHE team A,Inspection pending,PLANNED,HIGH
WO-TDMS-2026-0045,TDMS-2026-0045,TRACTION,SEC-A01,30.88,150,POWER_AND_TRAFFIC_BLOCK,OHE team A,Ready,OPEN,CRITICAL
WO-TDMS-2026-0046,TDMS-2026-0046,TRACTION,SEC-A02,101.466,60,POWER_AND_TRAFFIC_BLOCK,OHE team A,Ready,OPEN,HIGH
WO-TDMS-2026-0047,TDMS-2026-0047,TRACTION,SEC-A01,39.741,45,POWER_AND_TRAFFIC_BLOCK,OHE team B,Material pending,PLANNED,MEDIUM
WO-TDMS-2026-0048,TDMS-2026-0048,TRACTION,SEC-A02,101.233,90,POWER_AND_TRAFFIC_BLOCK,OHE team B,Ready,PLANNED,HIGH
WO-TDMS-2026-0049,TDMS-2026-0049,TRACTION,SEC-B02,246.838,120,POWER_AND_TRAFFIC_BLOCK,OHE team B,Ready,OPEN,HIGH
WO-TDMS-2026-0050,TDMS-2026-0050,TRACTION,SEC-B02,288.21,60,POWER_AND_TRAFFIC_BLOCK,OHE team A,Material pending,OPEN,MEDIUM
WO-TDMS-2026-0051,TDMS-2026-0051,TRACTION,SEC-A02,86.866,45,POWER_AND_TRAFFIC_BLOCK,OHE team A,Ready,PLANNED,MEDIUM
WO-TDMS-2026-0052,TDMS-2026-0052,TRACTION,SEC-A01,47.478,60,POWER_AND_TRAFFIC_BLOCK,OHE team B,Ready,PLANNED,HIGH
WO-TDMS-2026-0053,TDMS-2026-0053,TRACTION,SEC-C01,360.427,90,POWER_AND_TRAFFIC_BLOCK,OHE team A,Ready,OPEN,MEDIUM
WO-TDMS-2026-0054,TDMS-2026-0054,TRACTION,SEC-B01,180.579,45,POWER_AND_TRAFFIC_BLOCK,OHE team A,Ready,PLANNED,MEDIUM
WO-TDMS-2026-0055,TDMS-2026-0055,TRACTION,SEC-B02,291.542,60,POWER_AND_TRAFFIC_BLOCK,OHE team B,Inspection pending,OPEN,MEDIUM
WO-TDMS-2026-0056,TDMS-2026-0056,TRACTION,SEC-A01,46.501,45,POWER_AND_TRAFFIC_BLOCK,OHE team A,Ready,OPEN,MEDIUM
WO-TDMS-2026-0057,TDMS-2026-0057,TRACTION,SEC-A02,91.696,60,POWER_AND_TRAFFIC_BLOCK,OHE team B,Material pending,OPEN,HIGH
WO-TDMS-2026-0058,TDMS-2026-0058,TRACTION,SEC-B02,285.519,60,POWER_AND_TRAFFIC_BLOCK,OHE team A,Material pending,OPEN,MEDIUM
WO-TDMS-2026-0059,TDMS-2026-0059,TRACTION,SEC-B02,291.987,45,POWER_AND_TRAFFIC_BLOCK,OHE team A,Material pending,OPEN,MEDIUM
WO-TDMS-2026-0060,TDMS-2026-0060,TRACTION,SEC-B02,282.319,60,POWER_AND_TRAFFIC_BLOCK,OHE team A,Inspection pending,OPEN,MEDIUM
WO-SMMS-2026-0061,SMMS-2026-0061,S&T,SEC-C01,386.2,60,TRAFFIC_BLOCK,S&T team B,Ready,PLANNED,LOW
WO-SMMS-2026-0062,SMMS-2026-0062,S&T,SEC-B02,333.664,60,TRAFFIC_BLOCK,S&T team A,Inspection pending,OPEN,LOW
WO-SMMS-2026-0063,SMMS-2026-0063,S&T,SEC-A01,31.769,60,TRAFFIC_BLOCK,S&T team B,Inspection pending,PLANNED,LOW
